id,jurisdiction,body,meeting_date,title,item_type,confidence,signal_type,description,location,acres,units,developer,zoning_from,zoning_to,status_enum,growth_score,notes,url,agenda_text,source,scraped_at,lat,lng,geocode_source,geocode_confidence
pmn_1084457,American Fork,City Council,2026-06-02,06.02.26 City Council work session agenda,nan,nan,,,,,,,,,PROPOSED,,,https://www.utah.gov/pmn/sitemap/notice/1084457.html,"AMERICAN FORK CITY COUNCIL
JUNE 2, 2026
		WORK SESSION AGENDA




*Notice of Electronic Meeting*
One or more City Council members may be physically absent from this meeting but may participate electronically.

Notice is hereby given that the American Fork City Council will hold a work session on Tuesday, June 2, 2026, in the City Administration Conference Room, located at 51 East Main Street, commencing at 4:00 p.m. The agenda shall be as follows:
WORK SESSION
The purpose of the City Work Sessions is to prepare the City Council for upcoming agenda items on future City Council Meetings. The Work Session is not an action item meeting. No one attending the meeting should rely on any discussion or any perceived consensus as action or authorization. These come only from the City Council Meeting.

1.	Presentation of progress on the American Fork Transit Circulator Study and Polycentric City Master Plan.
2.	Report by Dawna Whiting on the American Fork Victim's Assistance Program.
3.	Discussion on Master Plans, Impact Fee Facility Plans, and Impact Fee Analysis for Culinary Water, Parks, Pressurized Irrigation, Public Safety, Sewer, Storm Drain, and Transportation. 
4.	Adjourn.

Dated the 28th day of May 2026.

/s/Terilyn Lurker
City Recorder

-	In accordance with the Americans with Disabilities Act, the City of American Fork will make reasonable accommodations to participate in the meeting. Requests for assistance can be made by contacting the City Recorder at 801-763-3000 at least 48 hours in advance of the meeting.
-	The order of agenda items may be changed to accommodate the needs of the City Council, staff, and the public.",pmn,2026-06-29T12:38:02.014370Z,40.3769706,-111.7973189,haiku_pdf_address,0.55
pmn_1082813_item0,American Fork,Planning Commission,2026-06-03,Land Use Map Amendment for 375 S 860 E from Planned Community to Design Commercial,nan,0.9,GENERAL_PLAN_AMENDMENT,Proposed Land Use Map Amendment (LUMA) to change property from Planned Community land use designation to Design Commercial land use designation to promote economic opportunity and development on the east side of American Fork City.,"375 S 860 E, American Fork City",1.96,,,,,PROPOSED,65,Paired with concurrent zone change from PC and GC-2 to GC-1. Economic development focus on east side.,https://www.utah.gov/pmn/sitemap/notice/1082813.html,"{""parcel_ids"": [""13:059:0130"", ""13:059:0131""]}",pmn,2026-06-29T12:38:02.014607Z,,,,
pmn_1082813_item1,American Fork,Planning Commission,2026-06-03,Zone Change for 375 S 860 E from PC and GC-2 to GC-1,nan,0.9,REZONE,Proposed Zone Change to rezone property from PC (Planned Community) and GC-2 (General Commercial) zones to GC-1 (General Commercial) zone to promote economic opportunity and development.,"375 S 860 E, American Fork City",1.96,,,"PC, GC-2",GC-1,PROPOSED,72,Commercial rezone paired with LUMA amendment. Consolidation to single GC-1 zone suggests coordinated commercial development.,https://www.utah.gov/pmn/sitemap/notice/1082813.html,"{""parcel_ids"": [""13:059:0130"", ""13:059:0131""]}",pmn,2026-06-29T12:38:02.014607Z,,,,
pmn_1082813_item2,American Fork,Planning Commission,2026-06-03,Land Use Map Amendment for 943 S 900 W from Residential Very-Low Density to Institutional,nan,0.9,GENERAL_PLAN_AMENDMENT,"Proposed Land Use Map Amendment to change property from Residential Very-Low Density land use designation to Institutional Lands, Schools and Public Facilities designation to accommodate construction of a city culinary water well.","943 S 900 W, American Fork City",0.78,,,,,PROPOSED,25,Infrastructure-related LUMA for public water utility. Changes vacant residential-designated land to public facilities use.,https://www.utah.gov/pmn/sitemap/notice/1082813.html,,pmn,2026-06-29T12:38:02.014607Z,40.3909485,-111.8210962,haiku_pdf_address,0.70
pmn_1086791_item0,American Fork,City Council,2026-06-09,Vacation of a portion of a public utility easement at 1032 East 1060 North,nan,0.9,INFRASTRUCTURE,Public hearing to receive comment on the vacation of a portion of a public utility easement at the specified address,1032 East 1060 North,,,,,,PROPOSED,15,Utility easement vacation - may indicate infrastructure reconfiguration or development preparation,https://www.utah.gov/pmn/sitemap/notice/1086791.html,,pmn,2026-06-29T12:38:02.014367Z,,,,
pmn_1085035,American Fork,City Council,2026-06-09,06.09.26 Public Hearing - FY2027 Municipal Officers compensation,nan,nan,,,,,,,,,PROPOSED,,,https://www.utah.gov/pmn/sitemap/notice/1085035.html,"NOTICE OF PUBLIC HEARING
Notice is hereby given that the American Fork City Council will hold a public hearing in conjunction with a regular session on Tuesday, June 9, 2026, at 7:00 p.m. at the American Fork City Hall, 31 North Church Street. The City Council will receive public comments regarding the American Fork City FY 2027 (July 1, 2026, to June 30, 2027) Executive Municipal Officers Compensation Increases. 
All interested people are invited to attend.
Dated the 1st day of June 2026",pmn,2026-06-29T12:38:02.014364Z,40.3775031,-111.7975657,haiku_pdf_address,0.55
pmn_1084385,American Fork,City Council,2026-06-09,06.09.26 Public Hearing - FYE2027 City Budget,nan,nan,,,,,,,,,PROPOSED,,,https://www.utah.gov/pmn/sitemap/notice/1084385.html,"NOTICE OF PUBLIC HEARING

Notice is hereby given that the American Fork City Council will hold a public hearing in conjunction with a regular session on Tuesday, June 9, 2026, at 7:00 p.m. at the American Fork City Hall, 31 North Church Street. The City Council will receive public comments regarding the American Fork City FY 2027 Budget (July 1, 2026, to June 30, 2027). 

The fiscal year ending June 30, 2027, tentative budget includes a proposed property tax rate increase. The Property Tax Impact Schedule and the Tentative Budget can be found at www.americanfork.gov/finance.

All interested people are invited to attend.

Dated this 27th day of May, 2026",pmn,2026-06-29T12:38:02.014362Z,40.3775031,-111.7975657,haiku_pdf_address,0.55
pmn_1085039_item0,American Fork,City Council,2026-06-09,Vacation of portion of public utility easement at 1032 East 1060 North,nan,0.9,INFRASTRUCTURE,"Proposed vacation of 5 feet of public utility easement along rear property line at 1032 East 1060 North, reducing the rear easement from 10 feet to 5 feet. Public hearing and City Council action scheduled.",1032 East 1060 North,,,,,,PROPOSED,15,Utility easement vacation typically indicates preparation for development or property improvement. Small reduction (5 feet) suggests minor project scope.,https://www.utah.gov/pmn/sitemap/notice/1085039.html,,pmn,2026-06-29T12:38:02.014359Z,40.398201,-111.7705674,haiku_pdf_address,0.70
pmn_1088897,American Fork,City Council,2026-06-16,06.16.2026 City Council Special Session CORRECTED agenda,nan,nan,,,,,,,,,PROPOSED,,,https://www.utah.gov/pmn/sitemap/notice/1088897.html,"AMERICAN FORK CITY COUNCIL
JUNE 16, 2026
		SPECIAL SESSION AGENDA - *CORRECTED




*Notice of Electronic Meeting*
One or more City Council members may be physically absent from this meeting but may participate electronically.

Notice is hereby given that the American Fork City Council will hold a special session on Tuesday, June 16, 2026, in the American Fork City Hall, located at 31 N. Church Street, commencing at 6:00 p.m. The agenda shall be as follows:

SPECIAL SESSION
1.	*Review and action on a resolution regarding the PROPOSED Tax Rate and setting the Truth in Taxation Public hearing date for August 11, 2026.
2.	Review of the resolution adopting the Property Tax Impact Schedule.
3.	Consideration and action on entering into a closed session to discuss the professional character or competence of an individual(s) as described in Utah State Code 52-4-204 and 52-4-205. 
4.	Adjournment.

Dated the 12th day of June 2026.

/s/Terilyn Lurker
City Recorder

-	In accordance with the Americans with Disabilities Act, the City of American Fork will make reasonable accommodations to participate in the meeting. Requests for assistance can be made by contacting the City Recorder at 801-763-3000 at least 48 hours in advance of the meeting.
-	The order of agenda items may be changed to accommodate the needs of the City Council, staff, and the public.",pmn,2026-06-29T12:38:02.014354Z,40.377922,-111.7974943,haiku_pdf_address,0.55
pmn_1088893_item0,American Fork,City Council,2026-06-16,Discussion on proposed amendments to the city's municipal code,nan,0.9,,Work session discussion on proposed amendments to American Fork's municipal code. No specific amendments detailed in agenda.,,,,,,,PROPOSED,25,Work session item only - no action taken. Details of proposed amendments not provided in agenda packet.,https://www.utah.gov/pmn/sitemap/notice/1088893.html,,pmn,2026-06-29T12:38:02.014356Z,,,,
pmn_1088893_item1,American Fork,City Council,2026-06-16,Discussion on automatic annexations,nan,0.9,ANNEXATION,Work session discussion on automatic annexations policy or procedures in American Fork.,,,,,,,PROPOSED,45,Work session item only - no action taken. Specific annexation parcels or properties not identified in agenda.,https://www.utah.gov/pmn/sitemap/notice/1088893.html,,pmn,2026-06-29T12:38:02.014356Z,,,,
pmn_1087445,American Fork,Planning Commission,2026-06-17,Planning Commission Agenda - Canceled,nan,nan,,,,,,,,,PROPOSED,,,https://www.utah.gov/pmn/sitemap/notice/1087445.html,"AMERICAN FORK CITY
PLANNING COMMISSION AGENDA - CANCELED
________________________________________

Regular Session - Canceled
June 17, 2026
Wednesday 6:30 PM

American Fork City Hall
31 North Church Street
American Fork City, UT 84003
https://www.americanfork.gov/AgendaCenter

Planning Commission Members 
Christine Anderson, Chair
Chris Christiansen, Vice Chair   
Geoff Dupaix
Rod Martin
David Bird
Harold Dudley
Claire Oldham 

Notice is hereby given that the American Fork City Planning Commission regular session on June 17, 2026, has been canceled. 

Dated this 9th day of June 2026
Patrick O'Brien
Development Services Director

*The order of agenda items may change at the discretion of the Planning Commission Chair",pmn,2026-06-29T12:38:02.014604Z,,,,
pmn_1090673_item0,American Fork,City Council,2026-06-23,Pressurized irrigation rate schedule public hearing and approval,nan,0.9,INFRASTRUCTURE,"Public hearing to receive comments on proposed pressurized irrigation rate schedule, followed by City Council review and action on a resolution amending pressurized irrigation rates.",,,,,,,PROPOSED,15,Infrastructure/utility rate adjustment. Public hearing component indicates formal regulatory process.,https://www.utah.gov/pmn/sitemap/notice/1090673.html,,pmn,2026-06-29T12:38:02.014349Z,,,,
pmn_1090673_item1,American Fork,City Council,2026-06-23,Culinary water rates amendment,nan,0.9,INFRASTRUCTURE,City Council review and action on a resolution amending culinary water rates.,,,,,,,PROPOSED,10,Utility rate adjustment affecting city infrastructure operations.,https://www.utah.gov/pmn/sitemap/notice/1090673.html,,pmn,2026-06-29T12:38:02.014349Z,40.9775716,-111.9115096,nominatim,0.75
pmn_1091707_item0,American Fork,Planning Commission,2026-07-08,Code Text Amendment - Floodplain Management (Section 15.16),nan,0.9,,Proposed amendment to ensure compliance with updated and revised FEMA maps and regulations related to floodplain management,,,,,,,PROPOSED,15,Regulatory compliance update for floodplain standards,https://www.utah.gov/pmn/sitemap/notice/1091707.html,,pmn,2026-06-29T12:38:02.014599Z,,,,
pmn_1091707_item1,American Fork,Planning Commission,2026-07-08,Code Text Amendment - Easements (Section 15.01.110),nan,0.9,,"Clarification of required conveyance documents for easements, establishing whether easements must be conveyed on a plat or via graphical exhibit tied to Utah County Surveyor's monument system",,,,,,,PROPOSED,10,Administrative clarification of easement conveyance procedures,https://www.utah.gov/pmn/sitemap/notice/1091707.html,,pmn,2026-06-29T12:38:02.014599Z,,,,
pmn_1091707_item2,American Fork,Planning Commission,2026-07-08,Code Text Amendment - Natural Gas Regulator Station (Section 17.4.601 PF Zone),nan,0.9,,Proposed amendment to permit Natural Gas Regulator Stations as a Conditional Use within the PF Public Facilities Zone to accommodate increased growth in American Fork City,,,,,PF,PF,PROPOSED,35,Infrastructure-related code change to support utility growth; allows conditional use in public facilities zone,https://www.utah.gov/pmn/sitemap/notice/1091707.html,,pmn,2026-06-29T12:38:02.014599Z,,,,
pmn_1059621_item0,Bluffdale,City Council & Planning Commission,2026-02-25,Ordinance amending Chapter 9.10.020 related to adoption of Wildland Urban Interface Building Standards,nan,0.9,,Public hearing to receive comments on an ordinance amending City code Chapter 9.10.020 to adopt Wildland Urban Interface Building Standards. This is a regulatory/code amendment for wildfire safety standards.,,,,City of Bluffdale,,,PROPOSED,15,This is a municipal code amendment establishing building standards for wildland-urban interface areas. Does not directly enable or restrict development but may affect development practices in high-risk areas.,https://www.utah.gov/pmn/sitemap/notice/1059621.html,,pmn,2026-06-29T12:38:02.015771Z,,,,
pmn_1065863_item0,Bluffdale,City Council & Planning Commission,2026-03-25,Text Amendment to Bringhurst Station Commercial Sub-Districts diagram to allow non-retail businesses in certain areas,nan,0.9,GENERAL_PLAN_AMENDMENT,Proposed text amendment to modify the Bringhurst Station Commercial Sub-Districts diagram to permit non-retail businesses in specified areas of the commercial district. This expands permitted uses beyond retail to include other business types.,"Bringhurst Station Commercial Sub-Districts, Bluffdale",,,"Bluffdale Industrial Park, LLC",,,PROPOSED,60,"Text amendment application 2026-06. Applicant represented by Joshua F. Hunt, Esq. Staff presenter: Caitlyn Tubbs. Public hearing before City Council on March 25, 2026. Expansion of permitted uses could facilitate mixed-use or industrial development in commercial district.",https://www.utah.gov/pmn/sitemap/notice/1065863.html,,pmn,2026-06-29T12:38:02.015768Z,,,,
pmn_1077009_item0,Bluffdale,City Council & Planning Commission,2026-05-13,Text Amendment to City Code for Gas Station Electronic Display Signs,signage,0.9,,"Proposed amendments to Chapter 11.220.070.A and Chapter 11.220.030 of the City Code to add provisions allowing electronic display signs for gas stations with a minimum display interval of three seconds, and to add a new definition for 'Gas Station Electronic Display Sign'.",,,,Yesco,,,PROPOSED,15,Signage code amendment specific to gas station electronic display signage. Application 2026-10. Staff presenter: Ellen Oakman.,https://www.utah.gov/pmn/sitemap/notice/1077009.html,,pmn,2026-06-29T12:38:02.015766Z,,,,
pmn_1078659_item0,Bluffdale,City Council & Planning Commission,2026-05-27,Text Amendment to Chapter 3.40 and Section 11.180.020 - Seasonal Fireworks Sales Regulations,nan,0.9,,Proposed text amendment to update the City's regulations on seasonal fireworks sales in Chapter 3.40 of the Bluffdale City Code and to allow outdoor fireworks sales as an allowed temporary use in Section 11.180.020 of the Bluffdale City Code,,,,Joee Witter,,,PROPOSED,15,Ordinance amendment for temporary use allowance; staff presenter Caitlyn Tubbs; Application 2026-16,https://www.utah.gov/pmn/sitemap/notice/1078659.html,,pmn,2026-06-29T12:38:02.015763Z,,,,
pmn_1086063_item0,Bluffdale,City Council & Planning Commission,2026-06-24,General Plan and Zoning Amendment for 1.90 acres at 13942 South 2700 West from Very Low Density Residential to Commercial,nan,0.9,GENERAL_PLAN_AMENDMENT,Request to amend the General Plan Map from Very Low Density Residential to Commercial and amend the Zoning Map from R-1-43 Residential to General Commercial for approximately 1.90 acres,13942 South 2700 West,1.9,,,R-1-43,General Commercial,PROPOSED,72,Part of larger 2700 West flex retail development proposal. Rezones approximately 1.90 acres to general commercial use.,https://www.utah.gov/pmn/sitemap/notice/1086063.html,,pmn,2026-06-29T12:38:02.015760Z,40.4736009,-111.9591571,nominatim,0.75
pmn_1086063_item1,Bluffdale,City Council & Planning Commission,2026-06-24,Development Agreement for Four Flex Retail Buildings on 3.914 acres at 2700 West and 2950 West,nan,0.9,MINIFLEX_OPPORTUNITY,"Request for Development Agreement to construct four flex retail buildings on approximately 3.914 acres with reduced glazing and brick percentages and expanded permitted uses including construction sales/service, data centers, loan centers, manufacturing, printing, storage facilities, and warehousing","13918 South 2700 West, 13942 South 2700 West, and 13937 South 2950 West",3.914,4,,,,PROPOSED,78,"Multi-parcel development agreement allowing diverse light industrial and commercial uses typical of flex space. Coordinates with companion general plan/zoning amendment. Includes non-traditional retail permitted uses such as data centers, manufacturing, storage, and warehousing within flex buildings.",https://www.utah.gov/pmn/sitemap/notice/1086063.html,,pmn,2026-06-29T12:38:02.015760Z,40.4736009,-111.9591571,haiku_nominatim,0.70
pmn_1091553_item0,Bluffdale,City Council & Planning Commission,2026-07-08,Text Amendment to Consolidate and Reorganize Single-Family and Agricultural Residential Zones,nan,0.9,GENERAL_PLAN_AMENDMENT,"Comprehensive zoning code text amendments to consolidate R-1-43 and R-1-10 residential zones into a new Single-Family Residential chapter, create new R2 (half-acre) and R3 (third-acre) zones, relocate R-1-87 zone into Agricultural Zone as A-2, modify lot standards in R-1-10 (renamed R4), update development agreement requirements for zone map amendments, and update zoning map legend and references throughout city code.",,,,City of Bluffdale,"R-1-43, R-1-10, R-1-87","R2, R3, R4, A-2",PROPOSED,45,"Seven-part text amendment package reorganizing residential zoning framework and creating new smaller-lot residential zones (R2 half-acre, R3 third-acre). Creates regulatory flexibility for future development patterns. Public hearing scheduled July 8, 2026. Staff contact: Caitlyn Tubbs, Planning Manager.",https://www.utah.gov/pmn/sitemap/notice/1091553.html,,pmn,2026-06-29T12:38:02.015753Z,,,,
pmn_1091947_item0,Bluffdale,City Council & Planning Commission,2026-07-08,General Plan Map Amendment from Very Low Density Residential to Commercial at 13942 South 2700 West,nan,0.9,GENERAL_PLAN_AMENDMENT,Request to amend the General Plan Map for approximately 1.90 acres from Very Low Density Residential to Commercial designation,13942 South 2700 West,1.9,,,,,PROPOSED,65,Parcel lined in yellow on provided General Plan Map. Associated with concurrent zoning and development agreement requests.,https://www.utah.gov/pmn/sitemap/notice/1091947.html,,pmn,2026-06-29T12:38:02.015757Z,40.7451933,-111.95804,nominatim,0.75
pmn_1091947_item1,Bluffdale,City Council & Planning Commission,2026-07-08,Zoning Map Amendment from R-1-43 Residential to General Commercial at 13942 South 2700 West,nan,0.9,REZONE,Request to amend the Zoning Map for approximately 1.90 acres from R-1-43 Residential to General Commercial zoning,13942 South 2700 West,1.9,,,R-1-43,General Commercial,PROPOSED,75,Residential to commercial conversion. Paired with General Plan Amendment.,https://www.utah.gov/pmn/sitemap/notice/1091947.html,,pmn,2026-06-29T12:38:02.015757Z,40.7451933,-111.95804,nominatim,0.75
pmn_1091947_item2,Bluffdale,City Council & Planning Commission,2026-07-08,Development Agreement for Four Flex Buildings on approximately 3.914 acres,nan,0.9,MINIFLEX_OPPORTUNITY,"Request for a Development Agreement to construct four (4) flex buildings with permitted uses including construction sales and service, general and limited manufacturing, printing services, temporary job trailers and offices, and wholesale and warehousing. Includes requests to reduce glazing and brick percentages.","13918 South 2700 West, 13942 South 2700 West, and 13937 South 2950 West",3.914,,,,,PROPOSED,72,Multi-parcel flex/light industrial development. Spans three addresses. Includes modification of standard design requirements (glazing and brick percentages). Allows diverse industrial and service uses.,https://www.utah.gov/pmn/sitemap/notice/1091947.html,,pmn,2026-06-29T12:38:02.015757Z,,,,
pmn_1087977_item0,Draper,City Council,2026-06-10,Ordinance #1719 - Veranda West Master Area Plan Amendment,nan,0.9,GENERAL_PLAN_AMENDMENT,Adoption of Ordinance #1719 amending the Master Area Plan for Veranda West per the Land Use and Development Code of Draper City Municipal Code,,,,,,,APPROVED,55,"Master Area Plan amendment adopted by City Council on June 9, 2026. Ordinance on file at Draper City Recorder's Office.",https://www.utah.gov/pmn/sitemap/notice/1087977.html,,pmn,2026-06-29T12:38:02.017056Z,40.5072844,-111.9047339,haiku_pdf_legal,0.55
pmn_1087981_item0,Draper,City Council,2026-06-10,Ordinance #1720 - Veranda West Master Area Plan TSD Sub-Zone Designation Map amendment,nan,0.9,GENERAL_PLAN_AMENDMENT,"Adoption of Ordinance #1720 amending Land Use and Development Code Section 9-14-110, Exhibit 9-14-1, regarding the Veranda West Master Area Plan TSD Sub-Zone Designation Map",Veranda West Master Area Plan,,,,,,APPROVED,35,"Ordinance adopted on June 9, 2026. This is a sub-zone designation map amendment within the Veranda West Master Area Plan. Specific details about affected parcels or zone changes not provided in notice.",https://www.utah.gov/pmn/sitemap/notice/1087981.html,,pmn,2026-06-29T12:38:02.017053Z,,,,
