id,jurisdiction,body,meeting_date,title,item_type,confidence,url,agenda_text,source,scraped_at
pmn_1087445,American Fork,Planning Commission,2026-06-17,Planning Commission Agenda - Canceled,,,https://www.utah.gov/pmn/sitemap/notice/1087445.html,"AMERICAN FORK CITY
PLANNING COMMISSION AGENDA - CANCELED
________________________________________

Regular Session - Canceled
June 17, 2026
Wednesday 6:30 PM

American Fork City Hall
31 North Church Street
American Fork City, UT 84003
https://www.americanfork.gov/AgendaCenter

Planning Commission Members 
Christine Anderson, Chair
Chris Christiansen, Vice Chair   
Geoff Dupaix
Rod Martin
David Bird
Harold Dudley
Claire Oldham 

Notice is hereby given that the American Fork City Planning Commission regular session on June 17, 2026, has been canceled. 

Dated this 9th day of June 2026
Patrick O'Brien
Development Services Director

*The order of agenda items may change at the discretion of the Planning Commission Chair",pmn,2026-08-17T08:46:46.401420Z
pmn_1090673,American Fork,City Council,2026-06-23,06.23.26 City Council Agenda,,,https://www.utah.gov/pmn/sitemap/notice/1090673.html,"AMERICAN FORK CITY COUNCIL
JUNE 23, 2026
		CITY COUNCIL AGENDA




*Notice of Electronic Meeting*
One or more City Council members may be physically absent from this meeting but may participate electronically.

The American Fork City Council will hold a public hearing in conjunction with the regular session on Tuesday, June 23, 2026, in the American Fork City Hall, 31 North Church Street, commencing at 7:00 p.m. The agenda shall be as follows:

PUBLIC HEARING
1.	Receiving public comment regarding proposed pressurized irrigation rate schedule.
REGULAR SESSION
1.	Pledge of Allegiance; Invocation by Council Member John; roll call. 
2.	Twenty-minute public comment period. Members of the public may address the Council for up to two minutes each. The Council will listen to all comments but will not discuss or respond to matters raised during the public comment period.
3.	City Administrator's Report 
4.	Council Reports 
5.	Mayor's Report 
COMMON CONSENT AGENDA
(Common Consent is that class of Council action that requires no further discussion or which is routine in nature.  All items on the Common Consent Agenda are adopted by a single motion unless removed from the Common Consent Agenda.)
1.	Approval of the May 26, 2026, city council minutes. 
2.	Approval of the June 2, 2026, work session minutes. 
3.	Approval of the authorization to release the Improvements Durability Retainer of $151,471.54 for Edgewater North Roadway, located at 200 South 1100 West. 
4.	Ratification of city payments (June 3, 2026, to June 16, 2026) and approval of purchase requests over $50,000. 
ACTION ITEMS
1.	Review and action on a resolution adopting the Interim American Fork City budget for fiscal year ending June 30, 2027.
2.	Review of the resolution adopting the Property Tax Impact Schedule.
3.	Review and action on approval of a resolution amending the culinary water rates.
4.	Review and action on approval of a resolution amending the pressurized irrigation rates.
",pmn,2026-08-17T08:46:46.401194Z
pmn_1092769,American Fork,City Council,2026-07-07,07.07.2026 City Council work session agenda,,,https://www.utah.gov/pmn/sitemap/notice/1092769.html,"AMERICAN FORK CITY COUNCIL
JULY 7, 2026
		WORK SESSION AGENDA




*Notice of Electronic Meeting*
One or more City Council members may be physically absent from this meeting but may participate electronically.

Notice is hereby given that the American Fork City Council will hold a work session on Tuesday, July 7, 2026, in the City Administration Conference Room, located at 51 East Main Street, commencing at 4:00 p.m. The agenda shall be as follows:
WORK SESSION
The purpose of the City Work Sessions is to prepare the City Council for upcoming agenda items on future City Council Meetings. The Work Session is not an action item meeting. No one attending the meeting should rely on any discussion or any perceived consensus as action or authorization. These come only from the City Council Meeting.

1.	Discussion on pressurized irrigation shareholder agreements.
2.	Discussion on road cross section with bike lanes and trails.
3.	Discussion on trees and park strips.
4.	Adjourn. 

Dated the 1st day of July 2026.

/s/Terilyn Lurker
City Recorder

-	In accordance with the Americans with Disabilities Act, the City of American Fork will make reasonable accommodations to participate in the meeting. Requests for assistance can be made by contacting the City Recorder at 801-763-3000 at least 48 hours in advance of the meeting.
-	The order of agenda items may be changed to accommodate the needs of the City Council, staff, and the public.",pmn,2026-08-17T08:46:46.401191Z
pmn_1091707,American Fork,Planning Commission,2026-07-08,"Planning Commission Public Notice, Agenda and Packet",,,https://www.utah.gov/pmn/sitemap/notice/1091707.html,"NOTICE OF PUBLIC HEARINGS

Notice is hereby given that the American Fork City Planning Commission will hold a Public Hearing on July 8, 2026, in the City Hall, located at 31 N. Church Street, commencing at 6:30 PM. 
The public and each affected entity is invited to provide information and comment for American Fork City to consider in the process of the proposed items.
-	Notice of public hearings and public meetings on adoption or modification of land use regulation.

o	Public hearing, review, and recommendation on a proposed Code Text Amendment, known as Floodplain Management, of the American Fork City Municipal Code. Amending Section 15.16, the Code Text Amendment plans to amend the code related to Floodplain Management. 

 	Description: The proposed amendment seeks to amend the municipal code to ensure compliance with updated and revised FEMA maps and regulations. 

o	Public hearing on a proposed Code Text Amendment, known as Easements, of the American Fork City Municipal Code. Amending Section 15.01.110, the Code Text Amendment plans to clarify the required conveyance documents for easements.

 	Description: The amendment establishes what document type must be used to convey easements, requiring conveyance on a plat when a plat is required, and a graphical exhibit tied to the Utah County Surveyor's monument system when a plat is not required.


o	Public hearing, review, and recommendation on a proposed Code Text Amendment, known as AF014-Natural Gas Regulator Station, of the American Fork City Municipal Code. Amending Section 17.4.601 PF Public Facilities Zone, the Code Text Amendment proposes Natural Gas Regulator Stations as a Conditional Use within the zone.

 	Description: The Code Text Amendment looks to permit Natural Gas Regulator Stations within the PF Zone as a Conditional Use due to increase growth within American Fork City.


o	Public hearing, review, and recommendation on a proposed Code Text Amendment, known as 'N' Definitions, of",pmn,2026-08-17T08:46:46.401417Z
pmn_1094573,American Fork,City Council,2026-07-14,07.14.26 City Council agenda,,,https://www.utah.gov/pmn/sitemap/notice/1094573.html,"AMERICAN FORK CITY COUNCIL
JULY 14, 2026
		MEETING AGENDA




*Notice of Electronic Meeting*
One or more City Council members may be physically absent from this meeting but may participate electronically.

Notice is hereby given that the American Fork City Council will hold a regular session on Tuesday, July 14, 2026, in City Hall, located at 31 North Church Street, commencing at 7:00 p.m. The agenda shall be as follows:

REGULAR SESSION
1.	Pledge of Allegiance; Invocation by Council Member Hunter; roll call. 
2.	Twenty-minute public comment period - limited to two minutes per person. 
3.	City Administrator's Report 
4.	Council Reports 
5.	Mayor's Report 
COMMON CONSENT AGENDA
 (Common Consent is that class of Council action that requires no further discussion or which is routine in nature.  All items on the Common Consent Agenda are adopted by a single motion unless removed from the Common Consent Agenda.)
1.	Approval of the June 2, 2026, work session minutes.
2.	Approval of the June 9, 2026, city council minutes.
3.	Approval of the June 16, 2026, work session minutes.
4.	Approval of the June 16, 2026, special session minutes.
5.	Approval of the authorization to release the Improvements Construction Guarantee in the amount of $16,526.42 and issue a Notice of Acceptance for the Evans residence construction of public improvements located at 829 North 290 East. 
6.	Ratification of city payments (June 17, 2026, to July 7, 2026) and approval of purchase requests over $50,000. 
ACTION ITEMS
1.	Review and action on the authorization to release the Improvements Durability Retainer of $9,934.95 for Walton Lane Townhomes located at 841 East 700 South. 
2.	Review and action on a water banking agreement for water shares with Layne Downs for 38.12-acre feet of water.
3.	Review and action regarding a boundary adjustment agreement between Timpanogos Special Service District, American Fork City, and Roderick Enterprises. 
4.	Review and action on a res",pmn,2026-08-17T08:46:46.401188Z
pmn_1097299,American Fork,City Council,2026-07-28,07.28.26 City Council agenda,,,https://www.utah.gov/pmn/sitemap/notice/1097299.html,"AMERICAN FORK CITY COUNCIL
JULY 28, 2026
		MEETING AGENDA




*Notice of Electronic Meeting*
One or more City Council members may be physically absent from this meeting but may participate electronically.

Notice is hereby given that the American Fork City Council will hold a regular session on Tuesday, July 28, 2026, in City Hall, located at 31 North Church Street, commencing at 7:00 p.m. The agenda shall be as follows:

REGULAR SESSION
1.	Pledge of Allegiance; Invocation by Council Member Carroll; roll call. 
2.	Twenty-minute public comment period - limited to two minutes per person. 
3.	City Administrator's Report 
4.	Council Reports 
5.	Mayor's Report 
COMMON CONSENT AGENDA
 (Common Consent is that class of Council action that requires no further discussion or which is routine in nature.  All items on the Common Consent Agenda are adopted by a single motion unless removed from the Common Consent Agenda.)
1.	Approval of June 23, 2026, city council minutes. 
2.	Approval of July 7, 2026, work session minutes. 
3.	Approval of corrected June 9, 2026, city council minutes.
4.	Ratification of city payments (July 8, 2026, to July 21, 2026) and approval of purchase requests over $50,000. 
ACTION ITEMS
1.	Review and action on a resolution accepting the Chipman/Stake Center Annexation petition consisting of 23.991 acres and located at approximately 510 South 100 West.
2.	Review and action on an ordinance approving a code text amendment, known as Easements of the American Fork City Municipal Code. Amending Chapter 15.01.110, the Code Text Amendment plans to amend the code related to Floodplain Management. 
3.	Review and action on an ordinance approving a code text amendment, known as Floodplain Management, of the American Fork City Municipal Code. Amending Chapter 15.16, the Code Text Amendment plans to amend the code related to Floodplain Management. 
4.	Review and action on an ordinance approving a code text amendment, known as AF014-Natural Ga",pmn,2026-08-17T08:46:46.401186Z
pmn_1098483,American Fork,City Council,2026-08-04,08.04.26 City Council Work Session agenda,,,https://www.utah.gov/pmn/sitemap/notice/1098483.html,"AMERICAN FORK CITY COUNCIL
AUGUST 4, 2026
		WORK SESSION AGENDA




*Notice of Electronic Meeting*
One or more City Council members may be physically absent from this meeting but may participate electronically.

Notice is hereby given that the American Fork City Council will hold a work session on Tuesday, August 4, 2026, in the City Administration Conference Room, located at 51 East Main, commencing at 4:00 p.m. The agenda shall be as follows:
WORK SESSION
The purpose of the City Work Sessions is to prepare the City Council for upcoming agenda items on future City Council Meetings. The Work Session is not an action item meeting. No one attending the meeting should rely on any discussion or any perceived consensus as action or authorization. These come only from the City Council Meeting.

1.	Discussion on the Earl Annexation concept plan.
2.	Discussion on the proposed cemetery expansion.
3.	Discussion on proposed code text amendment regarding accessory dwelling units.
4.	Discussion on automatic annexations.
5.	Discussion on Tabitha's Way Ambassador Network.
6.	Adjourn. 

Dated the 30th day of July 2026.

/s/Terilyn Lurker
City Recorder

-	In accordance with the Americans with Disabilities Act, the City of American Fork will make reasonable accommodations to participate in the meeting. Requests for assistance can be made by contacting the City Recorder at 801-763-3000 at least 48 hours in advance of the meeting.
-	The order of agenda items may be changed to accommodate the needs of the City Council, staff, and the public.",pmn,2026-08-17T08:46:46.401183Z
pmn_1097205,American Fork,Planning Commission,2026-08-05,Planning Commission Meeting - Canceled,,,https://www.utah.gov/pmn/sitemap/notice/1097205.html,"Notice is hereby given that the American Fork City Planning Commission session on August 5, 2026, has been canceled. All agenda items will be carried over to the August 19, 2026, Planning Commission meeting. 


AMERICAN FORK CITY
AMENDED PLANNING COMMISSION AGENDA
________________________________________
Regular Session
August 5, 2026
Wednesday 6:30 PM

American Fork City Hall
31 North Church Street
American Fork City, UT 84003
https://www.americanfork.gov/AgendaCenter

Planning Commission Members

Christine Anderson, Chair
Chris Christiansen, Vice Chair   
Geoff Dupaix
Rod Martin
David Bird
Harold Dudley
Claire Oldham

Notice is hereby given that the American Fork City Planning Commission session on August 5, 2026, has been canceled. All agenda items will be carried over to the August 19, 2026, Planning Commission meeting. 

1.	Regular Session
a.	Pledge of Allegiance
b.	Roll Call

2.	Public Comments
a.	Up to a 20-minute public comment period to receive public comments. Each speaker is limited to two minutes.

3.	Common Consent Agenda (Common Consent is that class of Commission action that requires no further discussion or which is routine in nature. All items on the Common Consent Agenda are adopted by a single motion unless removed from the Common Consent Agenda).
a.	Approval of the July 8, 2026, Planning Commission minutes

4.	Action Items (Action Items is that class of Commission action that requires further discussion on Site Plans and proposed zoning designation for annexing areas. The Planning Commission will have authority to approve Site Plans for final action and provide recommendations for the zone of annexing property.)
a.	Review and action on a proposed Request for Consideration for a project known as Lone Automotive located at 105 S 700 E Unit E. The applicants for this project request to operate an Auto Dealership in the GC-1 General Commercial Zoning.  
b.	Review and recommendation on a proposed Request for Cons",pmn,2026-08-17T08:46:46.401414Z
pmn_1100657,American Fork,City Council,2026-08-11,08.11.26 Public Hearing - Truth in Taxation,,,https://www.utah.gov/pmn/sitemap/notice/1100657.html,"AMERICAN FORK CITY COUNCIL
AUGUST 11, 2026
PUBLIC HEARING 




*Notice of Electronic Meeting*
One or more City Council members may be physically absent from this meeting but may participate electronically.

Notice is hereby given that the American Fork City Council will hold a public hearing on Tuesday, August 11, 2026, in City Hall, located at 31 North Church Street, commencing at 7:00 p.m. The agenda shall be as follows:

PUBLIC HEARING
The City Council will receive public comments for the purpose of hearing comments regarding the proposed tax increase. See attached Truth in Taxation Notice.

All interested people are invited to attend the meeting. Interested parties may also participate virtually via our Teams Link. Teams room opens at 6:50 pm, Hearing starts at 7 pm
URL: https://teams.microsoft.com/meet/287079955089408?p=WaumdSR1zRmyWBMaWk

Interested parties can also view the public hearing on the city's YouTube channel. (This is for view only).

Dated the 1 day of August 2026.

Terilyn Lurker
City Recorder

.	In accordance with the Americans with Disabilities Act, the City of American Fork will make reasonable accommodations to participate in the meeting. Requests for assistance can be made by contacting the City Recorder at 801-763-3000 at least 48 hours in advance of the meeting.",pmn,2026-08-17T08:46:46.401180Z
pmn_1101853,American Fork,City Council,2026-08-18,08.18.26 City Council work session agenda,,,https://www.utah.gov/pmn/sitemap/notice/1101853.html,"AMERICAN FORK CITY COUNCIL
AUGUST 18, 2026
		WORK SESSION AGENDA




*Notice of Electronic Meeting*
One or more City Council members may be physically absent from this meeting but may participate electronically.

Notice is hereby given that the American Fork City Council will hold a work session on Tuesday, August 18, 2026, at City Hall, located at 31 N. Church Street, commencing at 4:00 p.m. The agenda shall be as follows:
WORK SESSION
The purpose of the City Work Sessions is to prepare the City Council for upcoming agenda items on future City Council Meetings. The Work Session is not an action item meeting. No one attending the meeting should rely on any discussion or any perceived consensus as action or authorization. These come only from the City Council Meeting.

1.	Discussion by Matt Dugdale on bonding.
2.	Presentation on the programs and services offered at the Fitness Center.
3.	Discussion on amendments to the city code regarding external accessory dwelling units.
4.	Adjourn. 

Dated the 13th day of August 2026.

/s/Terilyn Lurker
City Recorder

-	In accordance with the Americans with Disabilities Act, the City of American Fork will make reasonable accommodations to participate in the meeting. Requests for assistance can be made by contacting the City Recorder at 801-763-3000 at least 48 hours in advance of the meeting.
-	The order of agenda items may be changed to accommodate the needs of the City Council, staff, and the public.",pmn,2026-08-17T08:46:46.401177Z
pmn_1098461,American Fork,Planning Commission,2026-08-19,"Planning Commission Agenda, Public Notice Letters and Packet",,,https://www.utah.gov/pmn/sitemap/notice/1098461.html,"AMERICAN FORK CITY
PLANNING COMMISSION AGENDA
________________________________________
Regular Session
August 19, 2026
Wednesday 6:30 PM

American Fork City Hall
31 North Church Street
American Fork City, UT 84003
https://www.americanfork.gov/AgendaCenter
________________________________________Planning Commission Members
 
Christine Anderson, Chair
Chris Christiansen, Vice Chair   
Geoff Dupaix
Rod Martin
David Bird
Harold Dudley
Claire Oldham 

 
Notice is hereby given that the American Fork City Planning Commission will meet in regular session on August 19, 2026, at the American Fork City Hall, 31 North Church Street commencing at 6:30 PM. The agenda shall be as follows:

1.	Regular Session
a.	Pledge of Allegiance
b.	Roll Call

2.	Public Comments
a.	Up to a 20-minute public comment period to receive public comments. Each speaker is limited to two minutes.

3.	Common Consent Agenda (Common Consent is that class of Commission action that requires no further discussion or which is routine in nature. All items on the Common Consent Agenda are adopted by a single motion unless removed from the Common Consent Agenda).
a.	Approval of the July 8, 2026, Planning Commission minutes

4.	Public Hearings (Public Hearings is that class of Commission action that requires further discussion on General Plan changes, Zone changes, and Code Text Amendments that alter the land use characteristics of American Fork City. Public Hearing items will have the chance for the public to speak upon.)
a.	Public hearing on a proposed zone for an annexation, known as Chipman and Stake Center #2 Annexation, located at approximately 100 W 700 S, American Fork City. Consisting of approximately 24 acres, the property is proposed to be annexed into American Fork City and is proposed to receive the PR-3.0 zoning designation.
b.	Public hearing on an update to the American Fork General Plan to update all sections to establish an updated vision for growth and developme",pmn,2026-08-17T08:46:46.401410Z
